Date : 2020-05-27 10:36:05
Directory : c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app
Total : 104 files,  5884 codes, 133 comments, 1070 blanks, all 7087 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\user.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\user.component.ts                        | TypeScript |         38 |          0 |          9 |         47 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\adminside\adminside.component.html                           | HTML       |        104 |          4 |         29 |        137 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\adminside\adminside.component.scss                           | SCSS       |        103 |          5 |         14 |        122 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\adminside\adminside.component.spec.ts                        | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\adminside\adminside.component.ts                             | TypeScript |        115 |          1 |         19 |        135 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\invitations\invitations.component.html                       | HTML       |         29 |          0 |          9 |         38 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\invitations\invitations.component.scss                       | SCSS       |         82 |          4 |         16 |        102 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\invitations\invitations.component.spec.ts                    | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\invitations\invitations.component.ts                         | TypeScript |         79 |          0 |         14 |         93 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Modals\athlete-list\athlete-list.component.html                                  | HTML       |        138 |          0 |         27 |        165 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Modals\athlete-list\athlete-list.component.scss                                  | SCSS       |         84 |          0 |         14 |         98 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Modals\athlete-list\athlete-list.component.spec.ts                               | TypeScript |         20 |          0 |          6 |         26 |
